报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
四、利润总额,5126407682,9878901892,9499993454,7169828718,5393068268,9770804257,9499546202,7432556492,5373668206,10839185789,9402712735,6692013185,4677862742,8847954568,7453083652,5221785050,3658896585,7760965564,6440525993,4555309623,3280913421,7165318964,5981819219,4247950398,2972898976,6030709283,5353018333,3807703622,2671451278,6685852953,6024869555,4411896686,3143386969,8215462451,6445052309,4238933790,2952251853,5530717513,4056221848,2586262052,1717438238,3076216705,2107327483,1430794855,962970796.7,1673308163,1205656563,784564121.9,484187841.1,992837876.7,755589505,579568424.2,273068985,0
减：所得税费用,1259403710,2394295578,2311376333,1768045340,1389615050,2384713342,2347235467,1847660251,1348493619,2723855894,2363158991,1686553047,1201945579,2229168424,1879774555,1321667757,921279116.2,1956036450,1617787820,1135862890,824858564.5,1800119666,1520647581,1063206224,745763759.1,1522665051,1369905867,952954367.8,669917338,1683699702,1527230353,1127107763,786859762,2063556711,1618390945,1066638274,739938835.6,1394109315,1024742697,657070715.5,433474170.9,777526199.6,531986667.4,362218358.5,241559247.2,419695027.4,301835120.8,196200978.5,121076353,249780369,189026021.7,204717292.2,98089997.94,0
五、净利润,3867003972,7484606314,7188617121,5401783378,4003453218,7386090915,7152310735,5584896241,4025174587,8115329895,7039553743,5005460139,3475917163,6618786144,5573309097,3900117293,2737617469,5804929114,4822738173,3419446733,2456054857,5365199298,4461171639,3184744174,2227135217,4508044232,3983112467,2854749254,2001533940,5002153251,4497639202,3284788923,2356527207,6151905740,4826661364,3172295516,2212313017,4136608198,3031479151,1929191336,1283964067,2298690505,1575340815,1068576496,721411549.5,1253613135,903821441.8,588363143.4,363111488.2,743057507.7,566563483.2,374851132,174978987,0
归属于母公司所有者的净利润,3862525752,7482228634,7185703291,5400864286,4002168547,7382822727,7146332278,5581705664,4020764958,8115189795,7038754910,5004991771,3475147604,6627169959,5581662088,3908260475,2742957007,5827168871,4839158418,3423805127,2456001859,5365185535,4461169759,3184862529,2227129509,4507497244,3982741953,2854479611,2001399894,5002071836,4497580509,3284909146,2356488566,6154302875,4828124260,3173886531,2212048156,4020992149,2915947203,1813856744,1171535258,2204667837,1535676342,1067232395,721445528.2,1253620006,903821441.8,588363143.4,363111488.2,743057507.7,566563483.2,374736701.3,174978867.4,0
少数股东损益,4478220.39,2377680.29,2913829.49,919091.63,1284670.76,3268188.34,5978456.82,3190577.29,4409629.38,140099.81,798833.29,468367.28,769559.17,-8383815.49,-8352991.21,-8143181.7,-5339538.13,-22239756.89,-16420244.86,-4358394.02,52997.86,13763.23,1879.22,-118354.45,5707.97,546987.92,370513.35,269643.33,134045.68,81415.48,58693.32,-120222.43,38641.53,-2397134.79,-1462896.28,-1591014.42,264861.3,115616049.2,115531948.3,115334592.5,112428808.5,94022668.06,39664472.85,1344100.75,-33978.64,-6871.18,0,0,0,0,0,0,119.6,0
六、每股收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基本每股收益(元/股),2.5796,4.9843,4.7826,3.5912,2.6564,4.8991,4.7421,3.7039,2.6681,5.385,4.67,3.32,2.31,4.4,3.7,2.59,1.82,3.87,3.21,2.27,1.63,3.56,2.96,2.11,2.07,4.19,3.7,2.65,1.86,4.63,4.17,3.04,2.18,5.7,4.47,2.94,2.46,4.47,3.24,2.02,2.6,4.9,3.41,2.37,1.6,3.04,2.23,1.45,0.9,1.83,1.4,0.93,0.46,0
稀释每股收益(元/股),2.5796,4.9843,4.7826,3.5912,2.6564,4.8991,4.7421,3.7039,2.6681,5.385,4.67,3.32,2.31,4.4,3.7,2.59,1.82,3.87,3.21,2.27,1.63,3.56,2.96,2.11,2.07,4.19,3.7,2.65,1.86,4.63,4.17,3.04,2.18,5.7,4.47,2.94,2.46,4.47,3.24,2.02,2.6,4.9,3.41,2.37,1.6,3.04,2.23,1.45,0.9,1.83,1.4,0.93,0.46,0
七、其他综合收益,-919333.88,-1630142.86,-4018103.52,-2382912.12,-3868886.54,-2228748.45,129775.81,980090.41,-287574.86,-142861056.3,-102525850.4,-96057298.22,-22444406.46,-226957.05,-173999.66,-117566.55,-3062.36,1143061.03,179998.53,-17772.3,4399.06,16772.42,11011.54,-194.34,1013.36,-314.82,-667.12,-1710.08,-730.27,-122.69,-4142.38,-5332.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
八、综合收益总额,3866084638,7482976171,7184599017,5399400466,3999584331,7383862167,7152440511,5585876331,4024887012,7972468838,6937027893,4909402840,3453472756,6618559187,5573135097,3899999727,2737614407,5806072175,4822918171,3419428960,2456059256,5365216071,4461182650,3184743980,2227136230,4508043917,3983111799,2854747544,2001533210,5002153129,4497635060,3284783590,2356527207,6151905740,4826661364,3172295516,2212313017,4136608198,3031479151,1929191336,1283964067,2298690505,1575340815,1068576496,721411549.5,1253613135,903821441.8,588363143.4,363111488.2,743057507.7,566563483.2,374851132,174978987,0
归属于母公司所有者的综合收益总额,3861604730,7480624156,7181685188,5398481497,3998299660,7380584697,7146449709,5582684100,4020486220,7972309381,6936207900,4908951125,3452719849,6626944016,5581492653,3908148137,2742951084,5828294183,4839338416,3423787354,2456006258,5365202307,4461180771,3184862334,2227130522,4507496929,3982741286,2854477901,2001399164,5002071713,4497576367,3284903813,2356488566,6154302875,4828124260,3173886531,2212048156,4020992149,2915947203,1813856744,1171535258,2204667837,1535676342,1067232395,721445528.2,1253620006,903821441.8,588363143.4,363111488.2,743057507.7,566563483.2,374851132,174978867.4,0
归属于少数股东的综合收益总额,4479908.33,2352015.2,2913829.49,918968.3,1284670.76,3277470.2,5990801.83,3192231.45,4400792.59,159457.66,819992.49,451715.4,752907.29,-8384829.1,-8357555.66,-8148410.36,-5336677.7,-22222008.42,-16420244.86,-4358394.02,52997.86,13763.23,1879.22,-118354.45,5707.97,546987.92,370513.35,269643.33,134045.68,81415.48,58693.32,-120222.43,38641.53,-2397134.79,-1462896.28,-1591014.42,264861.3,115616049.2,115531948.3,115334592.5,112428808.5,94022668.06,39664472.85,1344100.75,-33978.64,-6871.18,0,0,0,0,0,0,119.6,0
