报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20081231,20071231,20061231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期待摊费用,0,0,0,0,0,57199.81,114399.82,171599.83,228799.84,285999.85,343199.86,400399.87,457599.88,514799.89,674304.97,629199.91,686399.92,743599.93,800799.94,857999.95,915199.96,976899.97,1048666.65,1086799.99,1144000,1144000,1144000,1144000,1144000,1144000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815622.67,0
递延所得税资产,377844682.2,372488464.7,366258568.3,373222709.6,382931855.2,382782987.4,376123645,377509387.5,385722862.9,383877311.3,352291033.5,354577706.6,364137966.4,361730371.6,299201103.3,294652288.9,313384816.6,311077330.9,98161562.86,92632870.57,95982684.74,93939296.56,91161165.79,91421007.37,88607164.25,86741147.12,87003246.52,83956756.46,82083172.63,79414039.31,74338086.47,75446123.11,75848098.93,71607416.09,69531152.72,70138153.01,72799217.44,69137642.67,58568872.27,58469468.29,57249079.45,56130113.51,52398068.19,53081960.03,51696797.56,51231279,56487303.1,50600608.5,41562587.24,37439010.75,0
其他非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非流动资产合计,4393000828,4433941777,6009735139,6079559748,6062096931,6101241573,6143739274,4290507194,4330430870,4278713464,4315458880,4352522329,4388524016,4404827691,4390631906,4429798796,4497021545,4527939882,4608059937,4852420172,4847541786,4847119800,4758643582,4612502839,4502151938,4375433545,4097027157,3945463192,4011294467,3988283013,3956034077,4009499913,3933996922,3953922980,3968884131,3956371593,3772075355,3710599962,3543223991,3546066665,3560740440,3568157646,3486558708,3443660399,3477070581,3494240241,3534963413,3583126331,3194201542,2044526454,0
资产总计,12976484338,13007899641,13302930490,12985484964,11830302041,12020734611,12166936093,12107417547,11934791962,12193051526,12436698816,11371318302,11345447762,11304480677,11407080204,11042200082,10622884291,6614865738,6329393493,6283090225,6137792285,6484938986,6527677743,6371336176,6058652235,6284537029,6294176431,5812312182,5613277371,5744543505,5770953503,5985086395,5699839041,5700662849,5819796713,5974249461,5688279137,5484071164,5671963495,5606987873,5448318601,5419466805,5465549586,4970377761,4796747784,4693068134,4893590250,4833805510,4749464694,3461673364,0
流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
短期借款,764594030,763219726.2,759353889,1259353889,500000000,500000000,500000000,769770800,769770800,960014960,960014960,190244160,453187686,272456316,277687332,277687332,0,0,0,0,0,0,0,0,0,0,0,110000000,110000000,200000000,789000000,839000000,874000000,940000000,1150748000,855748000,838548000,303548000,285548000,847548000,299998000,259998000,416998000,347198000,736248000,1186248000,1244763000,1407946460,1022493900,686452827,0
交易性金融负债,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
