报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26710.34,26710.34,26710.34,26710.34,26710.34,0,0,0,0,0,0,0,0,0,0,0,0
其他流动资产,52268229.3,308356521.5,546603317.4,553892512.6,756192377.9,522165369.9,748748102.5,604378512.3,744057039.9,718776044.1,291074178.1,305432130.5,368749703.6,292037133.2,44500000,48901899.01,53516453.58,54474869.42,83483.11,0,1883031.99,7340402.49,0,0,0,1577937.53,1683226.18,1403073.77,0,0,0,0,0,1607493.82,0,0,0,168569.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26710.34,26710.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动资产合计,18017457649,15807956206,13699516043,12347661238,11636361061,12642412942,11031695872,10564372639,10242560918,9016190343,7436690678,7697322013,7679031397,6243500705,5902073995,5568793582,5519751653,4786918740,4554707987,4622473078,4780085823,4264080907,4004634316,4025266236,3903301467,3806611732,3686162171,3660002557,4213586912,4097927607,4477071485,4459892550,5175779700,4940278369,4552667065,4328794456,4745831516,4013537655,3271452337,3262888949,3138622811,2834561823,2332872432,2090120387,2087135557,1976384466,1899148111,1720418003,1776272326,1579623252,1520381054,1356289471,1323385846,1426930562,1388665589,1489367241,1485665544,1239415585,1262995009,1082864288,1243180009,924749942.6,936980571.4,885016918.1,873730247.2,819302328.2,781174721,737627696.7,722532191.8,691190919.5,673603815.2,645967325.8,656610413.5,636562218.1,604069653.6,624954602.7,702193482,692415285.4,649961605,684608000,625593535.2,623448114.7,601030658.9,597538494.8,589721345.5,585965909.6,590803371.1,543182003.5,559474371,556557047.1,554411848.6,526724000,603759283.3,665981712.9,305384974,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,8807610.36,8055936.54,7913832.11,8569698.71,9006943.11,9509774.17,9258359.89,9914226.49,9968882.04,9979813.15,9946614.96,10335276.72,11808952.56,10084266,15993757.04,16811566.16,3835937.04,3835937.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111900,111900,111900,111900,111900,0,111900,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4774083.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,38950024.03,39427869.84,30000000,20000000,20000000,0,0,0,4283539.2,4283539.2,6474506.48,6601516.77,3423351.94,3404383.71,2834696.9,2834696.9,2652710.46,2652710.46,2644239.54,3028562.87,4000000,4000000,0,0,0,0,0,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,3835937.04,4304396.49,4304396.49,4304396.49,4774083.83,4774083.83,4774083.83,0,4774083.83,5374083.83,4774083.83,4774083.83,4774083.83,4774083.83,4774083.83,4774083.83,4774083.83,4774083.83,6004083.83,6004083.83,6004083.83,5458443.94,5295356.69,4113545.19,4196520.58,3965897.53,2855612.47,2956066.22,1967203.05,2028537.07,1578537.06,1578537.06,1578537.06,1575163.49,1578537.06,1578537.06,1578537.06,1578537.06,1578537.06,1578537.06,1578537.06,1578537.06,1578537.06,1549792.28,1549792.28,1549792.28,1661692.28,1549792.28,2571692.28,2571692.28,2571692.28,2844349.64,3059849.64,3259849.64,3260000,24417349.64,3578069.64,3436217,0
投资性房地产,16030326.14,16030326.14,16263700.65,16262929.65,13460501.78,13459730.78,13692334.29,13692334.29,13924937.8,13924937.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
