报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
实收资本(或股本),871528266,871528266,871528266,871528266,871528266,871528266,871528266,871528266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,865848266,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,432924133,396112838,376400000,376400000,376400000,376400000,376400000,212394985,0
资本公积,204081023.9,204081023.9,131968976.9,131968976.9,131968976.9,131968976.9,341032831.4,303777098.3,282392039.1,282392039.1,242144634.3,242144634.3,242144634.3,242144634.3,242206934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,253782563.4,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,240806934.3,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297795125.7,297877125.7,298077125.7,299995125.7,299995125.7,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299981247.3,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,299241978.6,294254570.7,294254570.7,294254570.7,294254570.7,294254570.7,248169218.9,248169218.9,248169000,248169218.9,248169218.9,0,0
减：库存股,100138400,100138400,100138400,100138400,105250400,105250400,105250400,105250400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他综合收益,2194376.4,2719069.68,2743664.68,2530508.03,2865464.62,2587896.36,3168802.93,2325784.73,7112200.87,2586721.33,2939249.63,2832671.31,3324571.26,3652504.56,4029627.85,3841067.14,4332967.09,4373958.75,4382157.08,4357258.44,4648754.76,5754011.64,4460496.72,9118365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
专项储备,96640138.71,90403826.16,85400450.03,80315751.49,74918616.18,70058407.16,68389836.75,65500425.78,61368550.36,58322079.72,57961043.44,55115150,51686329.87,49622714.79,49383287.59,47256145.82,44567556.28,42009654.27,40599700.22,38240443.67,35768387.66,33349299.47,32966508.85,31461760.64,29166229.66,26836927.29,24587881.29,22313569.17,19686217.92,16540586.48,14212938.9,13036919.08,11026202.31,7713670.65,5329650.79,3562040.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盈余公积,419793411,419793411,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,471792757.4,353184948.7,353184948.7,353184948.7,353184948.7,257453369.7,257453369.7,257453369.7,257453369.7,257453369.7,257453369.7,257453369.7,257453369.7,199322736.9,199322736.9,199322736.9,199322736.9,160267962.9,160267962.9,160267962.9,160267962.9,134566431.4,134566431.4,134566431.4,134566431.4,139640852.4,139640852.4,139640852.4,138929214.3,104140110.8,104140111.8,104140111.7,104140111.8,75612844.37,75612844.37,75612844.37,75612844.37,57300789.6,57993168.58,57993168.58,57993168.58,47852108.85,47852108.85,47852108.85,48717448.15,45823598.36,45823598.36,45823598.36,45476532.8,41899362.5,41515547.07,42483301.94,42343431.29,42859009.2,42680513.73,42060451.55,42060451.55,34305776.97,34305776.97,26660937.22,26660937.22,19658201.2,10020000,381726.1,0,35037184,0
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未分配利润,10470626386,8288572592,7681101967,6824738128,7229018817,6004259884,5602302352,5093269040,5410629217,4533218986,4347410007,4020765143,4313190543,3603118750,3464547789,3260700725,3602944153,3135233566,2981282231,2889037622,3101888398,2807179050,2651842294,2565999014,2501899051,2286576115,2329401416,2290883489,2576209177,2233864811,2578095881,2377768311,2836541211,2084726425,2096523034,1639984260,1995062110,1502529722,1429519381,1380607431,1336529001,938444307.8,1039056592,836059017.5,978974524.6,718546677.5,769312464,633083801.6,731626524.7,575785294.8,555670173.5,418233675.3,453597375.6,425583013.9,307345649.8,255636575.7,389103204.4,248916938.9,252716996.1,177064957.8,220954112.9,109403717.5,135971242.7,91776818.16,120472989.5,70576153.63,85031466.67,56308414.36,34420606.41,5020078.81,43561427.56,26551776.17,21813108.25,2408673.48,20655031.84,15603854.13,9858060.16,513505.39,14565352.48,4056432.12,8707759.66,2676190.75,8437843.39,4587395.79,1314516.77,1073810.36,25224001.32,423067.71,81106240.88,40006017.45,31152585.33,92394000,61304963.39,5649546.28,0,0
归属于母公司股东权益合计,11964725202,9776959789,9144397682,8282735988,8676842498,7446945788,7252964446,6702942972,7099143030,6214160849,5988095958,5658498622,5947987101,5236179627,5097808662,4890245896,5230292634,4760065136,4604712046,4510083282,4720753499,4424730319,4267717257,4185027097,4122488868,3891860999,3932437255,3891645016,4174343352,3828853355,4052148969,3850645379,4307407562,3552280245,3465961255,3064643062,2983234739,2490702350,2417692009,2368780059,2324701629,1926616936,1969098588,1766101013,1909016520,1648588673,1660299686,1524071023,1622613746,1466772516,1420955864,1283519365,1318883066,1290868704,1177705761,1125996687,1259463315,1118565412,1087658366,1012206328,1058013483,946463087.9,944489467.4,900295042.9,928991214.2,879094378.3,875237636.6,847206963.3,855623844.6,826223317,824318916.7,807309265.4,802570597.4,794421681.2,798644741.8,793593564.1,787847770.1,778156149.8,788630826.6,777738090.8,783357173.2,777185733.7,783462964.2,779434021.1,770553672,770312965.6,786708482,761907548.4,798134586.8,691236173.6,675380005.5,726983000,686255908.4,630218765.2,247432169,0
少数股东权益,290692754.5,287976946.6,192333131.4,188854972.3,187921206.5,177644980.3,411268447.9,379520511.5,333604122.9,267453497.4,149178964.9,131107155,156099858.7,102532597.2,99774534.85,83127548.95,103337381,76970508.11,63930699.66,57615958.21,83074255.34,70522791.5,56161150.27,55987164.19,54386202.2,43847946.93,50103862.61,48495205.48,56815285.24,47321500.95,63938330.75,57468331.68,93922015.34,72328343.05,68931130.05,196495982.3,191640915.4,90612397.5,172595718.4,137564595.6,205781486,132999518.9,134508937,80926131.14,66976281.73,143565153.6,142425641.7,102610909.2,162468129.4,120637398.1,162127333.7,121561757.4,103871018.8,111201584,101609191.5,95070978.8,116647751.1,87248278.95,87647979.47,66849682.84,81295269.41,50523771.37,50195568.06,37300231.66,44149991.57,29936120.17,33226010.56,25835326.04,25270590.35,15755110.68,8366339.24,2802086.05,1758760.44,2669507.49,3117727.21,406896.82,415226.29,414993.65,406569.7,406283.94,404496.82,400780.97,400254.03,400095.25,400036.19,400028.4,0,0,0,0,0,0,0,0,0,0
所有者权益(或股东权益)合计,12255417957,10064936735,9336730814,8471590960,8864763704,7624590768,7664232894,7082463484,7432747153,6481614347,6137274923,5789605777,6104086960,5338712225,5197583197,4973373445,5333630015,4837035644,4668642746,4567699240,4803827754,4495253110,4323878407,4241014262,4176875070,3935708946,3982541118,3940140221,4231158638,3876174856,4116087299,3908113710,4401329578,3624608588,3534892385,3261139044,3174875654,2581314747,2590287728,2506344655,2530483115,2059616455,2103607525,1847027144,1975992802,1792153827,1802725327,1626681932,1785081876,1587409914,1583083197,1405081123,1422754084,1402070288,1279314952,1221067666,1376111067,1205813691,1175306345,1079056011,1139308753,996986859.3,994685035.5,937595274.5,973141205.8,909030498.5,908463647.2,873042289.3,880894435,841978427.7,832685256,810111351.4,804329357.9,797091188.6,801762469,794000460.9,788262996.4,778571143.5,789037396.3,778144374.7,783761670,777586514.6,783863218.2,779834116.4,770953708.2,770712994,786708482,761907548.4,798134586.8,691236173.6,675380005.5,726983000,686255908.4,630218765.2,247432169,0
负债和所有者权益(或股东权益)总计,21978347605,19778534913,17366462162,15800981512,14953428655,16067772126,14180291229,13547757108,12969295581,11828963704,10264553240,10545702832,10455642162,8939785369,8575784527,8234106173,8136704436,7416626615,6984630600,7075476997,7263144231,6706626658,6137361223,6130949038,5932630255,5786101810,5599627939,5472085922,5982943833,5816694598,5879726602,5788097486,6442478470,6112154801,5611133842,5272054019,5660584751,4911753392,4126668138,3995474538,3799404798,3455810874,2898500078,2610966950,2609774369,2508603109,2422823446,2245163204,2303212170,2115363057,2018360010,1839306269,1777072996,1886483426,1826474117,1911541347,1906702363,1656963088,1672812305,1486132696,1645984099,1334581732,1340099108,1271129197,1261342333,1204121301,1161426560,1118662629,1101959148,1070687358,1056807935,1029317469,1042592310,1027373988,998504266.2,1025335528,1109130971,1103927431,1071492580,1119077113,1092894995,1109556518,1102042725,1118664199,1125129344,1128550301,1168527673,1137120778,1186358383,1151704119,1091872851,1057569000,1092349060,946091479.7,493707883,0
