报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20121231,20111231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,716746782.2,716746782.2,716746782.2,716746782.2,716746782.2,716746782.2,717502616.6,717502616.6,717502616.6,717502616.6,717091873.4,717091873.4,717091873.4,717091873.4,742713960.8,742713960.8,742713960.8,742713960.8,742713960.8,742713960.8,993613960.8,993613960.8,993613960.8,993613960.8,993613960.8,993815939.5,993815939.5,993815939.5,0,227875316.2,227875316.2,227875316.2,0
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他综合收益,21628810.67,21628810.67,13118834.99,13118834.99,13118834.99,13118834.99,0,0,0,18637500,20475000,20287500,23700000,23812500,27375000,31087500,33750000,32362500,33750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盈余公积,627250000,627250000,613674971.2,613674971.2,613674971.2,613674971.2,482008556.9,482008556.9,482008556.9,480144806.9,380926579.6,380926579.6,380926579.6,380926579.6,307376005.4,307376005.4,307376005.4,307376005.4,250900000,250900000,250900000,250900000,202637656.3,202637656.3,202637656.3,202637656.3,127585200.9,127585200.9,0,127585200.9,96277701.92,32758980.09,0
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未分配利润,6452620929,5647214807,5407076276,5113384901,5188574787,4608227018,4520496403,4298970371,4282051374,3623882417,3599234012,3426569775,3393039105,2886014962,2814985115,2688496593,2662860099,2277520432,2226309286,2110812862,2593884768,2287372448,2226686729,2118669157,2123178465,1846085309,1840234359,1733679570,0,1482514433,1039524488,574864166.3,0
归属于母公司股东权益合计,9072746522,8267340400,8005116865,7711425489,7786615376,7206267607,6974507577,6752981545,6736062547,6094667341,5972227465,5799375728,5769257558,5262345915,5146950082,5024174060,5001200066,4614472898,4508173247,4358926823,4340198729,4033686409,3924738346,3816720775,3821230083,3544338905,3463435499,3356880710,2354098600,2287974950,1813677506,1285498463,0
少数股东权益,0,0,0,0,0,0,14009232.6,13873078.32,13732840.75,14436468.83,16984875.5,16772455.98,18800020.24,16710453.77,6184572.89,6305526.08,6690811.63,6432659.98,7447527.26,7862426.7,7989556.52,8229921.38,6500554.67,8197290.81,8840838.11,13536788.3,15505656.95,13593150.51,0,9759297.23,4196436.29,0,0
所有者权益(或股东权益)合计,9072746522,8267340400,8005116865,7711425489,7786615376,7206267607,6988516809,6766854623,6749795388,6109103810,5989212341,5816148184,5788057578,5279056368,5153134654,5030479586,5007890877,4620905558,4515620774,4366789250,4348188286,4041916330,3931238901,3824918065,3830070921,3557875694,3478941156,3370473860,2366266100,2297734247,1817873942,1285498463,0
负债和所有者权益(或股东权益)总计,11860155460,11851101844,10623051080,9738992648,9581043146,10062294426,8693764992,8372486064,8339887403,8587648943,7740189279,7216617036,7229899420,7223229800,6564672810,6303554252,6111528721,6178634333,5730145757,5339427087,5626623169,5423388591,5236344913,5229252120,4667436016,4500737401,4210910268,4123549061,0,3366261783,2969838454,2289275757,0
