报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19960630,19951231,19950630,19941231,19940630,19931231,19921231,19911231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203028.28,-125727.59,0,-2618139.63,-2711843.91,71025.33,2421.3,0,0,0,0,0,5332.76,0,0,80623.95,1224857.15,0
其他流动资产,153961577.7,156565424.2,154837553.4,249589311.9,215837981.4,195174048.6,325488659.5,202400348.5,227283002.4,194237237,103930632.7,62332665,173218688.1,72856419.6,79950182.71,131188936.1,108673836,156905069.5,113066267.2,166159849.8,267098919.6,371860435.7,230271826.3,281027404,334842825.2,464347488.6,0,0,0,0,0,226639.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19391.47,0,0,0,0,0,358637.79,0,1267838.94,0,0,0,0,0,79797.9,0,167173.74,0,2510668.37,0,-8377.69,0,0,0,0,0,0,0,2421.3,0,0,0,0,0,0,0,0,0,0,0,0
流动资产合计,21688844770,19889697284,17283888643,18219460878,16997259026,16313738712,16481039946,16142136321,16084400267,15494468403,13890794894,14885198334,14494448339,14268729273,13349522175,9418916317,10087731735,9975536759,9556793142,9706707943,9181642779,9373390104,8761831387,9784513924,10394358547,9919586594,9713041518,10988848139,11064800671,10831962668,10547213151,12296538015,12353907304,12752118998,10401248230,8858302542,9616256359,8850952711,5947920407,6197167763,5465453143,4589007315,3802755319,3818049056,3543637155,3004257085,2628110059,2392651840,2772293518,2532036520,2027281414,1627252818,1928341341,2505760916,3131298266,2313816956,2472460363,2431420555,1880738230,1823149579,1723586207,1725533568,1467840691,1461398749,1471967050,1436700752,1430253182,1408816183,1600747090,1654931229,1546943555,1503000277,1600614054,1496245722,1281502546,1217743748,1264006751,1202359338,1123874412,1069634560,844274084.4,883268764.7,1036374103,970974748.2,911080620.8,730154174.3,544580133.7,521268391.6,494144500,415685660.6,879704100,328574277.7,309519600,232498123.2,167890765.9,106174319.9,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,275819448.5,274387820.8,272053358,304504451.5,322574457.9,365376960.8,349387960.7,328775998.7,322663976.8,303960069.4,306347007.5,328958841.7,378279459.1,307521355.8,462778715.8,66885468.15,61975905.45,45480991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62000000,62000000,62000000,0,0,0,0,0,0,100000,100000,100000,100000,100000,100000,100000,100000,250000,250000,250000,250000,250000,250000,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,2515726003,2477667171,2454585491,2311188427,2272515292,2230721726,2194789179,2164914635,2124400592,2091103349,2062487683,2030869311,1995346115,1824893973,1798875792,1778551899,1730350709,1712154382,1664085417,1561267840,1545836183,1522910942,1531114323,1453633584,1253035127,1222154509,1140453431,1153166079,1136024131,1121163656,1101513986,1083334358,1057210313,1052012663,1147125928,2065888160,2026793478,1997195089,1967685969,2010602544,2043849500,1984102728,1912344752,1835089375,1753359100,1702346339,1603767140,1502936954,1429386302,1342643424,1340841094,1302964371,1272900721,789403688.6,112865820.7,112865820.7,78503149.93,77349374.86,71439057.19,71439057.19,69991088.56,72825731.02,130011913.9,130886556.4,160276885,160962782.4,161063928,169903570.4,156377493.9,156318702.7,162437038.5,171735834.6,171400896.9,172398537,178570508.7,170888255.8,160583430.2,160458430.2,163115423.9,162661253.4,219116531.5,199969403,120028617.7,111028617.7,114354257.9,0,105255082.7,104575082.7,70867200,68459552.69,63858400,61444999.18,49985900,16580159.43,5433556.07,4833556.97,0
投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21465987.97,22066990.51,22344533.95,22622077.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
