报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341243.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9098.8,7687,0,0,0,-3266,0,0,0,-394340.59,0,-14559.07,0,26356.6,0,0,0,0,0,0,0
其他流动资产,100189.67,100189.67,100189.67,149453.7,149453.7,1338584.88,1518094.96,30603.35,325009.87,95575.46,1007121.98,330070241.8,730072019.2,600073548.4,450889744.5,553219551.7,505019778.8,399395518.3,309387714.1,315920463.9,316097001.7,166237039.2,235968374.9,189836627.8,121096770.4,109470115.7,22712383.7,76725173.57,106785451.6,107284686.8,0,0,0,0,41353.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22715.8,582808.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动资产合计,3789832385,3589601999,2886461203,2543655667,2417510242,2466819871,2185035249,2085186743,2077163003,2094501848,1918166027,1890634707,1888091057,1851873350,1671855486,1623602900,1583573801,1588785848,1400201874,1464307590,1467157382,1444018669,1354726017,1285743754,1287940645,1267142584,1201705028,1245478292,1310760247,1408236738,1483148386,1527378149,1747553609,1918337669,2376729792,2168642945,1765368695,1627457851,804903229.9,810252171.4,746034530.3,787591825.1,754160430.7,751073609.9,732597430.4,748448075.9,687256379.9,627945327,599459047.5,676414260.8,793042306.1,774865181.1,560213434.3,658845607.8,614342731.4,461436995.3,472463660.5,453305308.9,697879072.3,852087694.6,950039301.8,1017638448,1082979053,1176428365,1118982671,1084838343,1112735822,1076095412,1220328135,1214631886,1387862838,1473213465,1567467630,1602400734,1656609652,1430975095,1371771735,1459734224,1293779018,1236896692,1073417747,1202434250,869951081.9,746282366.2,697909279,666910763.8,324954109.3,218459357.3,217372840.7,157771070.3,79598598.59,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,41807476.05,41802279.43,43848713.8,43774300.01,43424696.69,43295082.83,45676690.74,45723671.34,45471978.5,45450167.52,45981573.58,45396698.54,46229835.37,49869733.78,49185561.31,47806777.98,46292900,44861247.98,47239885.83,47949409.56,45481696.04,44345922.27,40916128.36,39809088.93,39909687.18,40379333.53,42388571.79,40982415.26,41073907.39,39753046.55,42844112.44,42647153.48,42529265.81,68977574.22,12214140.41,14144593.52,19608831.8,15703565.71,16504487.83,20063893.63,78791978.99,76648527.5,79970248.57,80000000,60000000,60000000,60000000,64240174.21,64240174.21,64240174.21,4722762.9,4722762.9,4722762.9,4722762.9,8009941.38,8412610.37,8477820.94,24842143.13,24464237.03,26105426.35,30964437,32301625.33,38082462.75,43601500.93,45275165.57,45375453.9,93016848.55,98932893.71,99271036.21,101971036.2,94877654.94,90625183.94,90625183.94,90625183.94,91326547.67,86326547.67,87755109.53,86369291.24,22273078.81,28773078.81,4352808.87,4352808.87,1352808.87,441241.84,0,0,0,0,0,0,0,0
投资性房地产,61133960.99,61666979.42,62200622.82,62733646.61,56977727.59,57457696.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
