报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19970331,19961231,19951231,19941231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,324928980,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,303050000,277500000,277500000,277500000,185000000,130000000,130000000,130000000,69849700,39921500,0
资本公积,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,1161259525,759982108,759982108,759982108,759982108,759982108,759982108,759982108,759982108,759982108,759982798,759982798,759982798,759982798,759982798,759982798,759982798,759982798,760468148,760470114.6,759982798,758188457.1,758188457.1,758188457.1,758188457.1,756466761.4,756409480.3,756128849.3,755530819.3,755525406.3,755515556.9,721999480.4,721999480.4,722005073.5,721433609.5,720262209.5,720262209.5,720003888.2,719996668.3,720348387,719996668.3,719352947,719352947,718943657,718943657,423761358.7,423761358.7,423761358.7,423761358.7,52818787.89,0,52818787.89,0,0,0
减：库存股,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
专项储备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
盈余公积,233863818.2,233863818.2,233863818.2,233863818.2,233863818.2,233863818.2,226588734.3,226588734.3,226588734.3,226588734.3,213377648.5,213377648.5,213377648.5,213377648.5,201087750.7,201087750.7,201087750.7,201087750.7,198090648.6,198090648.6,198090648.6,198090648.6,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,195586740,194202663.6,207690856.4,206768751.3,194260661.7,194260661.7,194260661.7,194260661.7,195634944.7,195272610,195272610,195272610,195272610,194713059.3,194713059.3,194713059.3,194713059.3,194687307.7,194687307.7,194687307.7,194687307.7,199209774.2,199209774.2,198965103.1,193519069.1,155746896,155625105.1,131693131.3,131693131.3,71127827.26,71127827.26,31993721,31993721,0,0,0,0,0,0
一般风险准备,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
未分配利润,1404974795,1137075102,976241155.6,829948273.5,806473794,710402001.9,602162220.2,573981453.9,490767423.6,466855195.7,418431627.5,371861907.9,319907502.7,306111321.1,258708353.3,225073869.7,215061101.3,178032286.1,137961566.4,111192742.6,100712040.2,72445019.84,47392651.71,25872348.37,5411170.57,-13620657.65,7821054.96,39381663.61,85479731.22,83854641.7,140884720.9,151256678.5,195633116.7,185523997.6,148662695.4,-48711049.02,-190859183.7,-309925576.1,-416552342.3,-441686602.8,-481542141.8,-502544240.9,-523173070.1,-532647382.3,-579645003.2,-581962104.6,-603328591.3,-626372922.1,-645826383.7,-640446514.6,-695262100.3,-674412641.5,-678181502.5,-681611565.7,-712392313.5,-754494832,-758921313.8,-727856926.4,-588152471.1,-583796191.9,-471643336.9,-478927500.1,-326621201.9,-185177730.6,-169076893.8,-172508601,-204326221.1,-208392686,-196537575.5,-201974805.9,-119164579.8,-122206185.7,-109721027.2,-107521667.5,64736655.5,76675086.56,66065388.22,44105229.92,136615058.7,93183732.26,165334268.9,129575140.6,266284288.1,168886309.1,126973554.3,127974884,76305196.82,0,0,18624745.54,5965280.25,0
归属于母公司股东权益合计,3125027118,2857127425,2696293479,2550000597,2526526117,2430454325,2314939459,2286758693,2203544663,2179632435,2117997781,2071428061,2019473656,2005677474,1945984609,1912350125,1902337357,1865308542,1822240720,1795471896,1784991194,1756724173,1729167897,1707647593,1687186416,1668154587,1689596300,1721156909,1767254976,1765629887,1822659966,1833031923,1877408362,1867299243,1830437940,1633064196,1490916061,1371849669,842066505.7,816932245.1,777076706.2,756074607,735445777.9,725971465.6,678973844.8,676656743.4,655290256.7,632246615.9,612793154.2,618173023.4,563357437.7,584206896.5,580438035.5,577007972.3,544843148.1,516714172.3,511367552.1,529436533.3,667346647.7,671702926.9,783855782,777945901.7,928168169.4,1069554360,1085374565,1081344828,1048962245,1044885930,1023224964,1017787734,1100577801,1096964731,1108278490,1110477850,1287000318,1298931529,1288428878,1260670967,1314764902,1271211784,1319021057,1283261929,1038673474,941275495,860228634,768729963.7,259123984.7,193970998.6,182818787.9,88474445.54,45886780.25,0
少数股东权益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11915389.67,-10490782.55,-4753620.81,-3748786.39,-1484819.31,1071321.81,6539103.2,10012257.42,12526238,15414255.8,18085670.93,19227843.78,20365069.18,21600955.02,22788091.14,23227123.85,22830639.45,23714620.91,76138297.35,74865942.65,0,0,0,0,0,0,1205619.24,1429913.03,1664004.03,1838405.47,1972452.09,0,0,0,79980685.22,79980685.22,0,0,19464.82,0,10830.55,0,3044239.44,2793229.42,3234537.32,34822717.36,35899320.4,34485323.4,28596459.7,27946372.64,27366794.5,26435945.71,26797552.4,25358127.67,27151062.99,26713223.06,26392807.63,26300885.22,27824502.07,27430661.15,27008490.47,26070368.6,23123861.26,21133558.26,23684843.78,22637784.7,22342369.61,20672353,0,0,0,0,0,0,0,0
所有者权益(或股东权益)合计,3125027118,2857127425,2696293479,2550000597,2526526117,2430454325,2314939459,2286758693,2203544663,2179632435,2117997781,2071428061,2019473656,2005677474,1945984609,1912350125,1890421967,1854817759,1817487099,1791723110,1783506374,1757795495,1735707000,1717659851,1699712654,1683568843,1707681971,1740384752,1787620045,1787230842,1845448057,1856259047,1900239001,1891013863,1906576238,1707930139,1490916061,1371849669,842066505.7,816932245.1,777076706.2,756074607,736651397.1,727401378.7,680637848.8,678495148.9,657262708.8,632246615.9,612793154.2,618173023.4,643338122.9,664187581.7,580438035.5,577007972.3,544862612.9,516714172.3,511378382.6,529436533.3,670390887.1,674496156.4,787090319.3,812768619.1,964067489.8,1104039683,1113971025,1109291201,0,1071321876,1050022517,1043145861,1127728864,1123677955,1134671298,1136778735,1314824820,1326362190,1315437369,1286741336,1337888763,1292345343,1342705901,1305899714,1061015844,961947848,860228634,768729963.7,259123984.7,193970998.6,0,88474445.54,45886780.25,0
负债和所有者权益(或股东权益)总计,4543874496,4337013154,3641814539,3292537276,3169686957,3228583367,2949696024,2854869440,2851674731,2870051532,2578329285,2557646569,2564719391,2541736624,2364858565,2320522913,2342931236,2360797878,2230088183,2282846190,2287206829,2280973380,2193251288,2124671232,2138351364,2106915039,2015589675,2031937533,2087052249,2177283542,2139206471,2174395056,2360557268,2542905207,2918453968,2711793154,2292795006,2148798055,1296566562,1284666999,1246661235,1290349827,1261117528,1261527736,1205149312,1222482163,1164768271,1105981053,1080455105,1161337671,1225209260,1212148271,1210750173,1316729040,1272409384,1277864348,1302835943,1308413042,1442492697,1607318024,1719445041,1862439170,1947980649,2058514661,2014994434,1992032044,2083398422,2062233106,1982422978,1983238760,2153958712,2223340556,2232852877,2278762298,2355938799,2129654419,2076270953,2156692462,1860991931,1798376809,1619976077,1704855934,1353831427,1224041818,1040081703,926627284.4,531739906,424697273.9,400240701.2,283451723.7,114519500.6,0
