报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010930,20010630,20010331,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19961231,19951231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,1849977103,1849977103,1769429933,1034736055,1021778732,1021778732,981662099.1,981662099.1,919477978.5,919477978.5,876952840.7,912952840.7,862854004.1,862854004.1,817039621.9,817039621.9,794643093,794643093,776343407.6,777443407.6,866009462.5,902009462.5,879809253.5,879809253.5,867864898.5,867864898.5,847613095,834813095,840577356.5,120577356.5,113813089.7,113939689.7,120137513.8,120351122.8,116553819.9,116553819.9,120875383.3,130875383.3,126434622.7,28434622.69,32524090.85,32524090.85,67796988.84,25796988.84,29979154.25,29979054.25,25057697.46,25057697.46,27470267.23,27470267.23,24961576.43,24961576.43,26391145.92,26391145.92,23748167.74,23748167.74,26391145.92,26391145.92,26684924.46,26747904.73,27119534.64,27119534.64,30576600,30576600,13426600,3426600,7976600,3426600,3426600,3426600,3656600,3656600,3656600,3656600,3656600,3656600,3656600,3656600,0,5656600,5806600,5806600,5406600,3506600,0,0,0,0,0,0,0
投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程(合计),1910261742,1482098185,1205139330,1006107024,931077189.5,812428248.3,599246667.3,461183511.3,433588981,351993452.9,308092704,291410292.9,462867488.2,273414828.3,0,326299239.9,0,294548829.3,0,653273403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
在建工程,0,1480337106,0,1004345945,0,810667169.5,0,459422421.2,0,350232362.8,308092704,289649202.9,461106398.2,271653749.5,293854009.4,324538161.1,348440047,292881811.6,679794179,651606385.3,621285037.2,554771287.6,515231211.6,442337179.9,461155792.1,384533672.7,389754043.6,375618975.7,293040488.7,223094343.5,683382375.3,599153056.1,577888903.2,855585255.3,986738283.3,966002053.9,910719299.6,787493319.8,652572593.8,633703948.5,603595798,514643508.7,413532910.4,353532910.4,271382910.4,218457910.4,456047491.4,422932472.2,411554268.1,327723836.1,129382571.3,129382571.3,279097163.5,322898322.7,91207611.17,52207611.17,50577836.87,18177836.87,30237841.7,29552394.7,29552394.7,29552394.7,29567210.29,29567210.29,97643076.81,123043076.8,665769611.9,668969611.9,660331699.5,619018667.2,1419518505,700560718.3,844818644.9,844818644.9,126894081.6,162667645.4,399832679,407129955.1,0,460000000,375089152.6,375088852.6,375087726.2,88107716.2,24500000,21500000,273299036,0,0,0,0
工程物资,0,1761078.76,0,1761078.76,0,1761078.76,0,1761090.07,0,1761090.07,0,1761090.07,1761090.07,1761078.76,1761078.76,1761078.76,1761078.76,1667017.72,1667017.72,1667017.72,1667017.72,1667017.72,2345837.34,2345837.34,0,0,0,886472.77,886472.77,1755346.28,1755346.28,1360425.6,868873.51,868873.51,868873.51,868873.51,4618186.31,4618186.31,3959809.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89194,0,0,0,0,0,0,0,0,0,0,0
固定资产及清理(合计),5782726491,5866880860,5949990361,5991255132,6049610927,6108745913,6187661572,6246670223,5182607454,5262163428,5282593649,5343565143,5211192945,5292872389,0,5310671652,0,5431462490,0,5179269328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
固定资产净额,0,5866732590,0,5990692452,0,6108183363,0,6246000655,0,5261346192,5282593649,5342671730,5210283730,5292583427,5277803008,5310208763,5357774717,5431085733,5075825005,5178721784,5243340409,5347549947,5447067769,5569494295,5561162653,5676482318,5714480502,5618349276,5746016699,5882125515,5496333316,5636878065,5760836594,5497236501,5477857708,5608943205,5775442019,5905055196,6066038876,6178043191,6212189646,6373457303,6538960842,6686192246,6807745494,6935927657,6725076984,6866972825,4245800806,4334380906,4608271297,4711785851,4608423992,4670657791,4934237087,5019279783,5082147091,5193905239,5289844741,5356101804,5272215535,5378990873,5451346214,5569703297,5601605514,5647276968,4692216694,4779198242,4855612117,4896279237,3680362197,3766242267,3559955469,3602003201,3417705128,3445620147,3047036752,3074187958,0,2996112006,1326479176,1220622570,1245325894,1205088243,773054420.8,800607155.6,455849033.8,225513764.9,222897374,158461384.1,0
固定资产清理,0,148270.13,0,562679.45,0,562549.45,0,669568.18,0,817236.17,0,893413.43,909214.56,288961.94,415003.29,462889.13,428414.15,376757.14,3915320.77,547544.29,29416.67,77252.92,116193.38,104795.98,588148.86,0,16879528.42,17486607.29,3089634.06,23060688.9,1450865.12,3030629.26,16439.16,0,505169.2,254378.39,793603.03,0,3917205.74,20126.83,-321275.6,0,-77395.37,152293.06,-3189.36,0,251869.68,284937.68,293896.46,0,2010620.24,1947340.32,2195635.52,0,321143.26,400255.66,152167.29,0,1347170.96,0,431491.66,0,320852.43,-16338.42,78396.74,0,711059.3,18337.1,4818.46,0,2469421.99,3450286.61,308063.73,0,21704.28,14580.65,13860.65,0,0,5459040.46,5534040.46,5531581.56,0,0,153.43,0,-32684.51,0,0,0,0
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
无形资产,431500733.1,433611890.6,430338259.5,425580881.2,424615207.7,410155227.8,405040217.9,406994517,411235005.2,412650156.7,409538513.3,405011373.6,405233901.2,399362442.4,401014121.9,402106287.1,403375212.8,402445490.7,405058608.2,408260788.2,410580251.3,411690665.5,413781641.5,416329498.3,418798824.3,421573592.3,407530654.3,289485867.5,291516506.4,293642157.8,286159461.9,286508406.2,287842307.4,289762684.5,291861174.5,294151982.1,296216674.4,297477470.2,294440574.5,296094213.2,297864163.1,299598624,301379560.6,303567227.5,305889251.1,308093818,310308703.5,312590027,60505086.25,60901622.47,61445140.88,61813677.1,62091231.13,62487767.35,62884303.57,63280839.79,63677376.01,64073912.23,64470448.45,64866984.67,65263520.89,65660057.11,66056593.33,66453129.55,66849665.77,67246201.99,67642738.21,68039274.43,68435812.17,68832346.87,69228883.09,69625419.31,69900957.55,70298083.72,72597881.88,73034046.69,73098044.84,73559143.01,0,73598684.81,74026010.75,58765770.75,59482506.69,58139409.28,65587064.04,66981120.99,65983463.46,63478146.79,48623979.79,48623979.79,0
开发支出,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商誉,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,1621619.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
