报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020930,20020630,20020331,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19971231,19970630,19961231,19951231,19941231,19931231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
其他流动资产,24460312.79,2430588.37,7720026.94,9987521.49,84194191.55,50797979.42,22258793.36,15937304.7,34425591.71,30731618.53,34641384.52,12766220.19,62544547.78,29558205.71,23981620.92,10931963.62,36711811.52,25054851.51,31655669.18,8747930.49,23266705.89,17967926.07,25951852.07,11709290.58,13368421.18,14913584.98,29469481.74,36623349.92,42685084.85,37689752.39,35081773.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
流动资产合计,3426434924,3771393927,3265214788,3058944434,2807387068,2946396819,3042920364,2699225346,3020985693,2683669655,2448905834,2224720702,2330963165,2293005962,2104111044,1813540832,1647315134,1720199005,1594767524,1380183612,1266618264,1273662921,1184916161,1128623699,971621475.3,1093548172,978545259.3,1037382619,1068964309,1131083264,1222554130,1351121769,1485252745,2301481142,1767168748,1811244157,1696042741,1901237465,1990019811,1755833461,1697669186,1783569690,1771894617,2026400696,2085799400,2500089134,1952638658,2134437756,1718262867,1739474077,1719768399,1730196684,1627536718,2077887869,1925012160,1485869470,1266377084,1699728906,1540398516,1533934407,1424987765,1492578294,1326995592,1148583997,1100352266,1201153609,1074373840,1153439144,1109708437,1223605506,1245391989,1311287972,1326279826,1389483890,1397367288,1665571953,1680949571,1697932815,1708746584,1113692596,1125891867,1109956290,960741129.8,923504892.3,427411848,440966995.5,421680217.1,384367562,357635944.3,190913776.7,192623461.9,94205679.45,0
非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
可供出售金融资产,0,0,0,0,0,0,0,0,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,1000000,125000,125000,250000,250000,375000,375000,500000,0,0,0,0,0,0,0
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
长期股权投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,5000,2500000,2500000,2500000,2500000,2500000,2500000,9229764.81,9229764.81,2500000,2500000,2500000,31009366.31,31425923.11,2500000,2500000,30642621.28,36210186.09,34911544.3,33596314.91,37401861.55,35995133.23,34691201.07,25242748.18,23978988.1,31259486.96,30713993.76,29504687.72,33869078.64,82167453.49,74101499.26,72911375.2,73293953.04,70997240.81,70387744.77,66766308.4,66620998.75,96435105.9,88880806.88,89581897.27,86082985.45,80690834.8,87660788.33,98491557.97,89268394.97,91575470.38,89817028.52,90102930.43,56793568.7,50922371.24,50567676.96,54020301.64,8708301.64,2688301.64,22488301.64,4049762.57,4549760.57,4503762.57,4503762.57,4537102.57,17384927.93,0,0
投资性房地产,9408619.41,9482509.09,9556398.77,9630288.46,9704178.14,9778067.82,9851957.5,9925847.18,9999736.86,10073626.54,10147516.22,10222449.98,10297383.73,10378449.1,14297736.69,14440743.07,14670309.03,14806409.22,14958522.89,17304307.4,17476353.23,17648399.06,17820443.84,25075503.93,25260549.57,26964108.41,27294911.03,27625713.65,27956516.27,28310546.59,28618214.66,29583492.15,29919491.03,18312594.86,18581534,18862914.86,19130771.81,19398629.12,19666486.43,9216058.87,9357395.05,9498731.23,9640067.41,9781403.59,9922739.77,10064075.95,10205412.13,10346748.31,10488084.49,10640735.47,10770756.85,10914921.73,11052014.86,11189107.99,11326201.12,11133404.9,11270498.03,11448202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
