报表日期,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19981231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
购建固定资产、无形资产和其他长期资产所支付的现金,129336077.4,561616751,402634821.9,220906338.2,119547912.8,412329130.6,242619594.6,152296054.9,67651556.4,307319115,236113190.6,160906209.6,70853122.83,200093340.8,111377061.9,74306031.33,32203466.65,172716601.6,116075478.3,75351512.67,42024526.6,237769057.8,150355092.9,109798840.5,69102293.26,387438488.8,303089329.2,220818632.1,150144857.2,557480975.4,318594881.4,213935735.4,88890398.26,621048614.6,404625371.6,291847486.9,157648880.2,344656893,190647040.3,93006246.14,60767955.32,176024797.8,27777939.79,7118379.86,2440007.1,29722844.71,17016666.97,15510929.99,5611491.02,92551233.48,48315151.71,40163617.28,16929726.46,67692601.76,27735999.47,19636177.73,12794490.17,40540155.17,9614011.58,9868757.89,10110068.69,83260735.91,0,40503641,11452417,74100354,47586966,35748074,25297930,24732743,11898029,6010998,3319890,74933817,64984678,29795468,36505289.79,119079760.4,20623803.16,20974288.76,52103912.28,0
投资所支付的现金,394900000,41798000,64798000,44800000,33000000,1053830000,2355560164,1222560164,951660000,4349123092,2577352685,1221541796,330218945.4,5570236537,3699390191,2096875361,1537407342,3973944183,2671617711,1632621072,1400754646,2372945377,1736888380,1402588359,1380530924,2831392714,1003596754,1020029260,1006991981,1880000000,1410405983,800000000,800000000,25199993,0,0,0,0,0,0,0,14041480,0,0,0,1526104.2,36818512.53,36818512.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108486212,30943864,0,0,0,0,60850000,130850000,370809883.3,51700000,400000000,230000000,0
取得子公司及其他营业单位支付的现金净额,65186333.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805830032.5,795770032.5,795770032.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150486.75,0,0,0,8745406.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
投资活动现金流出小计,589422410.5,603414751,467432821.9,265706338.2,152547912.8,1466159131,2598179758,1374856218,1019311556,4656442207,2813465876,1382448006,401072068.2,5770329878,3810767253,2171181392,1569610809,4952490818,3583463221,2503742617,1442779173,2610714434,1887243473,1512387199,1449633218,3218831203,1306686083,1240847892,1157136839,2437480975,1729000864,1013935735,888890398.3,646248607.6,404625371.6,291847486.9,157648880.2,344656893,190647040.3,93006246.14,60767955.32,192216764.6,27777939.79,7118379.86,2440007.1,39994355.4,53835179.5,52329442.52,5611491.02,92551233.48,48315151.71,40163617.28,16929726.46,67692601.76,27735999.47,19636177.73,12794490.17,40540155.17,9614011.58,9868757.89,10110068.69,83260735.91,0,40503641,11452417,74100354,47586966,35748074,25297930,133218955,42841893,6010998,3319890,74933817,64984678,90645468,167355289.8,489889643.7,72323803.16,220974288.8,167103912.3,0
投资活动产生的现金流量净额,-193966695,-231216905.3,-126991061.4,61995665.31,166595079.9,2672141990,870390981.8,1273479673,160422767.6,-1125792494,-767403852.9,-266649560.6,74965977.62,-132515112.5,-687420953.8,32576174.29,-145592375.7,-1541019978,-825926812.1,-225265330.9,-281779348.7,-331376244.7,-137083166.8,-114449347.7,-186481020,-835804558.1,-244493555,-204715450.7,-71833846.19,-1489174996,-1727945406,-1013354197,-888718393.3,-645939666.6,-404122976.4,-291460886.9,-157262280.2,-335569574.3,-189524494.1,-92941446.84,-60703156.02,-157952513.4,-12579507.07,7968746.92,-1801808.96,-28855793.98,-53514236.72,-52028509.74,-5578932.09,-87612121.34,-47304935.92,-39465587.11,-15442588.22,-58060947.61,-26935752.47,-19105377.73,-12721690.17,-30986934.46,-8740350.09,-9628357.89,-10110068.69,-48513728.1,0,-33884082,-11437667,-51397039,-36611566,-25739774,-25297930,-54996110,34811184,71613979,-3204223,-56967174,-54780890,24121312,-102601769.2,14463297.34,-34924002.3,-28509779.21,-119450945.4,0
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231500000,1227499450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940320,300000,0,0,0,0,0,0,0,0,0,3300000,0
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940320,0,0,0,0,0,0,0,0,0,0,0,0
取得借款收到的现金,50330000,130665500,70325500,50094500,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,65000000,65000000,10000000,95000000,85000000,88000000,20000000,103000000,83000000,36000000,11000000,95000000,0,95000000,30000000,150000000,110000000,80000000,0,20000000,0,0,0,44000000,60000000,24000000,72600000,0,105200000,55200000,20350000,0
发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478184,0,0,0,0,1290000,1093000,0,0,1921882,0,0,0,0,0,0,0
筹资活动现金流入小计,50330000,130665500,70325500,50094500,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231500000,1227499450,0,0,9600000,0,0,0,0,0,0,0,75000000,65000000,65000000,10000000,95000000,85000000,88000000,20000000,103000000,83000000,36000000,11000000,95000000,0,95000000,30000000,150478184,110000000,80000000,0,20940320,1590000,1093000,0,44000000,61921882,24000000,72600000,0,105200000,55200000,23650000,0
偿还债务支付的现金,22000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,5000000,5000000,5000000,232000000,217000000,151000000,45000000,68000000,55000000,45000000,10000000,119100000,100100000,68000000,41000000,88000000,45000000,40000000,20000000,95900000,0,67400000,33900000,100000000,51500000,21500000,0,0,0,0,0,6000000,60000000,75928486,0,55200000,47792000,108190000,20000000,0
分配股利、利润或偿付利息所支付的现金,2421119.29,831838344.6,823969175.6,290708.33,0,755400000,755400000,755400000,0,503600000,503600000,503600000,0,302160000,302160000,302160000,0,50360000,50360000,50360000,0,100720000,100720000,0,0,176260000,176260000,0,0,251800000,251800000,251800000,0,113310000,113761973.9,113761973.9,0,79818322.54,82296583.5,82296583.5,0,82329200,82608627.58,82608627.58,79200,6689731.46,5856960.79,4769859.41,1019203.79,8199926.26,5965531.06,3955575.77,1977222.5,9561304.35,5759126.56,3736456.26,2008548.07,7978565.24,4742248.94,3072799.59,1164137.84,7991468.19,0,3993314,1554485,5588181,3226830,1696774,878878,26402422,25204823,1371472,1100460,49587846,47997521,0,70500000,72930683.52,70851842.64,68203113.39,85542916.35,0
其中：子公司支付给少数股东的股利、利润,0,75792108.39,68058219.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支付其他与筹资活动有关的现金,2487840.54,0,0,0,0,0,0,0,0,16553.34,0,0,0,0,0,0,0,104376537.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211800,0,0,0,279427.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61194,49209,37224,0,1023970,1011985,93634,0,1265400,0,718863.2,0,0,19031.45,0,0
筹资活动现金流出小计,26908959.83,831838344.6,823969175.6,290708.33,0,755400000,755400000,755400000,0,503616553.3,503600000,503600000,0,302160000,302160000,302160000,0,155736537.5,50360000,50360000,0,100720000,100720000,0,0,176260000,176260000,0,0,251800000,251800000,251800000,0,113310000,113761973.9,113761973.9,0,83030122.54,82296583.5,82296583.5,0,87608627.98,87608627.58,87608627.58,5079200,238689731.5,222856960.8,155769859.4,46019203.79,76199926.26,60965531.06,48955575.77,11977222.5,128661304.4,105859126.6,71736456.26,43008548.07,95978565.24,49742248.94,43072799.59,21164137.84,103891468.2,0,71393314,35454485,105588181,54788024,23245983,916102,26402422,26228793,2383457,1194094,55587846,109262921,75928486,71218863.2,128130683.5,118643842.6,176412144.8,105542916.4,0
筹资活动产生的现金流量净额,23421040.17,-701172844.6,-753643675.6,49803791.67,0,-755400000,-755400000,-755400000,0,-503616553.3,-503600000,-503600000,0,-302160000,-302160000,-302160000,0,-154736537.5,-49360000,-50360000,0,-100720000,-100720000,0,0,-176260000,-176260000,0,0,-251800000,-251800000,-251800000,0,-113310000,-113761973.9,-113761973.9,0,1148469877,1145202867,-82296583.5,0,-78008627.98,-87608627.58,-87608627.58,-5079200,-238689731.5,-222856960.8,-155769859.4,-46019203.79,-1199926.26,4034468.94,16044424.23,-1977222.5,-33661304.35,-20859126.56,16263543.74,-23008548.07,7021434.76,33257751.06,-7072799.59,-10164137.84,-8891468.19,0,23606686,-5454485,44890003,55211976,56754017,-916102,-5462102,-24638793,-1290457,-1194094,-11587846,-47341039,-51928486,1381136.8,-128130683.5,-13443842.64,-121212144.8,-81892916.36,0
四、汇率变动对现金及现金等价物的影响,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.9,0,0,0,-683.56,0,0,0,2407.32,0,0,0,-2612.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
