报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
购建固定资产、无形资产和其他长期资产所支付的现金,1853649494,1410877809,2089769499,1615152864,964266908.6,414462399.8,3148864661,2028039371,1124791961,609482374.3,1606750226,1016477927,716639811,574638851.4,1125017192,756994453.8,480999293.7,307369260.1,1019178137,775269285.3,496606045.6,367086565.3,2061470481,1810810171,1275907397,865730347.4,4431065066,3698405814,2846115155,2024967912,5405740026,3944662952,2527195939,1124939088,4211900808,3041808992,1701317278,678815042.4,2184528163,1234305198,747055064.3,300691471.9,1731913789,1394221714,1079662311,469039504.1,1356601530,1058500946,689017762.1,288879016.7,1010735786,643869405.1,409784280.8,174666400.5,772456652.5,545583793.1,332503082.6,182658817.8,737075587.3,544313686.8,311944622.3,104814535.9,540843725.7,388631291.4,242680052,101989194.9,355190020.8,228190946.8,138326737.5,73503913.55,334880557.6,299863886.4,201234233.9,106650497.2,467451921.3,260755471.3,331691548.2,0,33823984.46,0
投资所支付的现金,2000000000,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25050000,25000000,25000000,0,15000000,15000000,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,50000000,50000000,0,10000000,10000000,10000000,10000000,5000000,0,0,0,17000000,17000000,17000000,17000000,41000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,4000000,0,0,0,0
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支付的其他与投资活动有关的现金,18012885.3,12784295.9,17535402.3,13637063.22,8777283.19,5762916,24180232.27,19551877.19,15669396.19,9435384.19,33456659.58,15056419.78,23957573,17422337.15,17075145.1,8913220.86,7124750.86,6306387.06,88977102.97,3740639.78,62932043.91,56529387.61,68319778.76,42557201.53,29590419.24,3740294.25,259143571.3,270574431.7,246700375.6,148452932.2,692967608.4,536501410.7,399765665.1,301797368.8,342083058.4,174710044.4,136762440,22125199.09,151475313.6,40917766.84,28350508.44,11610276.94,56522892.71,57620800.18,44522602.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1203369.21,0,0
投资活动现金流出小计,3871662379,1423662105,2127304901,1628789927,973044191.8,420225315.8,3173044894,2047591248,1140461357,618917758.5,1640206886,1031534346,740597384,592061188.5,1142092338,765907674.7,488124044.5,313675647.2,1108155240,779009925.1,559538089.5,423615952.9,2154840260,1878367372,1330497816,869470641.6,4705208637,3983980245,3107815530,2173420844,6098707635,4481164363,2926961604,1426736457,4553983866,3216519036,1838079718,700940241.5,2336003477,1275222965,775405572.7,312301748.8,1838436681,1501842514,1174184914,469039504.1,1366601530,1068500946,699017762.1,298879016.7,1015735786,643869405.1,409784280.8,174666400.5,789456652.5,562583793.1,349503082.6,199658817.8,778075587.3,544313686.8,311944622.3,104814535.9,540843725.7,388631291.4,242680052,101989194.9,355190020.8,228190946.8,138326737.5,73503913.55,334880557.6,299863886.4,201234233.9,106650497.2,471451921.3,264755471.3,331691548.2,1203369.21,33823984.46,0
投资活动产生的现金流量净额,-3871592479,-1423592205,-1805227156,-1313883405,-973044191.8,-420225315.8,-3165685743,-2040270178,-1136383618,-618303783.5,-1628962705,-1023123815,-739781677,-591910958.5,-1120645215,-747775213.4,-470688613.2,-300339692.1,-1102500804,-773487389.1,-555507847.6,-421345315.8,-2048790265,-1782994523,-1290715410,-854045288.5,-4580159580,-3874919848,-2998755133,-2084818709,-5339311400,-3837520141,-2381583473,-1018613208,-4199476298,-3015363879,-1677369424,-689821241.5,-2120418050,-1197571115,-704408369.4,-301061771.5,-1763389555,-1426448785,-1101273291,-450308104.1,-1339521133,-1041420549,-671937364.9,-298879016.7,-992562686,-620696305.1,-386661180.8,-151543300.5,-789456652.5,-562583793.1,-349503082.6,-199658817.8,-778069637.3,-544313686.8,-311944622.3,-104814535.9,-540843725.7,-388631291.4,-242680052,-101989194.9,-355190020.8,-228190946.8,-138326737.5,-73503913.55,-334880557.6,-299863886.4,-201234233.9,-106650497.2,-471451921.3,-264755471.3,-331691548.2,-1203369.21,-33823984.46,0
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,0,0,0,0,0,0,833000000,833000000,833000000,0,0,0,0,0,6000000,6000000,6000000,0,16000000,0,0,0,0,0,0,0,34800000,6000000,0,0,6000000,0,0,0,392000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016922207,0,500000,0
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,833000000,833000000,833000000,0,0,0,0,0,6000000,6000000,6000000,0,16000000,0,0,0,0,0,0,0,34800000,6000000,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67382607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129000000,0
