报表日期,20210630,20210331,20201231,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20170930,20170630,20170331,20161231,20160930,20160630,20160331,20151231,20150930,20150630,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20100630,20100331,20091231,20090930,20090630,20090331,20081231,20080930,20080630,20080331,20071231,20070930,20070630,20070331,20061231,20060930,20060630,20060331,20051231,20050930,20050630,20050331,20041231,20040930,20040630,20040331,20031231,20030930,20030630,20030331,20021231,20020630,20011231,20010630,20001231,20000630,19991231,19990630,19981231,19980630,19700101
单位,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,元,
购建固定资产、无形资产和其他长期资产所支付的现金,163438472.2,90983229.29,217888888.1,142658166.7,99528834.84,59463213.06,215397405.3,141803846.5,25517846.92,10430341.99,131815370.2,86351810.82,70803385.05,24712322.33,86454399.88,40841697.86,37759020.33,29514048.91,25611504.46,9521118.37,6802703.5,5049270.81,7629547.72,8053698.13,3194391.03,2557611.74,24535539.82,24621459.75,22670022.66,18916471.28,99927543.55,93856760.19,88139202.86,52405427.54,214496773.3,127945463.2,67936970.81,27438225.34,170980961.4,116773606.4,82744358.69,72593067.99,32823223.58,31110605.48,30886021.05,13299962.31,67296954.96,54793378.8,52441518.83,47993996.16,429155716,20482268.68,10274827,4276476.8,22858510.68,23105351.79,19253812.61,14077288.06,11596478.49,8838388.06,7741956.27,6502820.35,28948283.35,15589273.45,8260713.69,3447149.03,48947407.55,36216577.3,28776637.28,20153616.37,80562574.07,44603455.6,42474201.29,1505278.92,170589248.4,24911012.28,254690593.9,36932718.62,17199485.54,4944766.07,8022451.65,24086552.52,39087936.7,2111641.97,0
投资所支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,300000,300000,0,0,0,0,0,6475500,6475500,6475500,6357755,0,0,5000000,0,120780000,9280000,9280000,0,40000000,973343.31,973343.31,0,17587437.72,21844775,13840275,188897923,6000000,0,0,0,3960016.15,4405486.99,4405486.99,4405486.99,2100000,0,0,0,0,60611782.63,94496054.1,0,37000000,28750000,0,20380000,39600000,0,0
取得子公司及其他营业单位支付的现金净额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
支付的其他与投资活动有关的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220000000,0,0,0,0,0,1793352.44,0,6025489.48,5956157.68,5491027.22,900000,3390100,810000,800000,1223684.82,1709000,0,0,0,9131608.29,5223.98,283633,32092,11400000,28833971.41,11400000,11400000,0,0,0,0,1677.66,0,1677.66,0,0,0,0,0,0,238374490,237824234.9,1143.2,89000000,89064519.47,89000000,64000000,88054309.25,61216165.56,0,95236.34,0,5487453.76,0,0,0,0,1300000,0,0,0,147592099.4,325000,0,0,0
投资活动现金流出小计,163438472.2,90983229.29,217888888.1,142658166.7,99528834.84,59463213.06,215397405.3,141803846.5,25517846.92,10430341.99,131815370.2,86351810.82,70803385.05,24712322.33,86454399.88,40841697.86,37759020.33,29514048.91,245611504.5,9521118.37,6802703.5,5049270.81,7629547.72,8053698.13,4987743.47,2557611.74,30561029.3,30577617.43,28161049.88,19816471.28,103317643.6,94666760.19,90939202.86,53629112.36,216205773.3,128245463.2,68236970.81,27438225.34,180112569.7,116778830.4,83027991.69,72625159.99,50698723.58,66420076.89,48761521.05,31057717.31,67296954.96,54793378.8,57441518.83,47993996.16,549937393.6,29762268.68,19556504.66,4276476.8,62858510.68,24078695.1,20227155.92,14077288.06,29183916.21,269057653.1,259406466.2,195401886.5,123948283.4,104653792.9,97260713.69,67447149.03,140961733,101838229.9,33182124.27,24654339.7,82662574.07,50090909.36,42474201.29,1505278.92,170589248.4,85522794.91,350486648,36932718.62,54199485.54,33694766.07,155614551.1,34601552.52,58887936.7,2111641.97,0
投资活动产生的现金流量净额,-163435489.5,-90983229.29,-217888888.1,-142658166.7,-99528834.84,-59463213.06,-214190386.2,-141361846.5,-25517846.92,-10430341.99,-131768869.8,-85005310.41,-69503385.05,-23912322.33,138340498.5,184718200.5,-37313705.33,-29513833.91,-204567891.2,31479837.13,-6846965.5,-5095527.81,30617159,17535164.76,-4865822.58,-2441011.74,-28831647.17,-26887657.16,-24699917.46,-17559915.89,139772330.5,146592374.8,149653152,98860567.64,-206753644,-123355183.8,-63811823.42,-27339726.15,-128309944.1,-67441945.09,-34625887.48,-24582743.99,34940864.12,18595023.75,35728644.43,35328574.04,-34331158.49,-42314300.61,-52216093.31,-47161845.92,-376262270.8,-19454161.38,-15690788.9,-2011495.99,11840360.7,30280050.5,32278669.84,39542577.65,85185749.16,-43552768.8,-81206618.45,-168276358.6,-70774749.73,-101520513,-95856445.15,-54411098.57,5279193.38,-11531330.22,-31703219.64,-22169537.79,-77073156.63,-49198476.1,-39539866.13,-1499278.92,-148164788.5,-84044835.98,-346143554.6,-35710546.9,-45770893.16,-33138459.08,-151808844.3,-34006612.17,-33647720.94,-2075286.18,0
三、筹资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,2700000,0,0,0,42690000,3750000,397455966.1,0,3499432.09,0,0,0,0,0,0
其中：子公司吸收少数股东投资收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
取得借款收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2000000,2000000,2000000,453736904.6,453250124.5,453736904.6,0,0,0,0,0,0,0,0,0,58000000,58000000,58000000,40000000,47560000,47560000,45560000,22000000,220000000,20000000,20000000,59161166.67,203986290,85000000,40000000,40000000,582500000,570135930,379135930,178000000,688700000,330000000,245000000,160000000,950832600,406000000,382000000,107000000,832609000,632200000,361050000,235400000,953250000,563850000,909500000,359050000,634850000,172450000,398150000,168400000,235920000,127950000,0
发行债券收到的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,0,0,0,6190632,6190632,0,0,0,6148308.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9412.85,0,0,0,400015.66,13241.1,0,0,0,483000,540936.78,0,86115.94,0,1096712.04,0,0,60000000,0,0,0,330273.61,42200000,0,0,0,6912.21,0
筹资活动现金流入小计,0,0,0,0,0,0,6190632,6190632,0,0,0,6148308.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,2000000,2000000,2000000,453736904.6,453250124.5,453736904.6,0,0,0,0,0,0,0,0,0,58000000,58000000,58000000,40000000,47560000,47560000,45560000,22000000,220000000,20000000,20000000,59161166.67,203986290,85000000,40000000,40009412.85,582500000,570135930,379135930,178400015.7,688863241.1,330000000,245000000,160000000,951315600,406540936.8,382000000,107086115.9,835309000,633296712,361050000,235400000,1055940000,567600000,1306955966,359050000,638679705.7,214650000,398150000,168400000,235920000,127956912.2,0
偿还债务支付的现金,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000,2000000,2000000,2000000,26980000,26980000,26980000,10000000,18000000,0,0,0,28880000,18880000,18880000,0,91700000,89700000,44000000,44000000,144000000,94000000,89000000,36440000,40000000,45000000,40000000,45000000,485000000,385000000,335000000,73000000,634970000,510431950,297796000,63700000,608832600,163000000,113000000,35000000,1074599000,405599000,376599000,147200000,866200000,663400000,441250000,306400000,883100000,535270000,822650000,363600000,618850000,190450000,342000000,170250000,227470000,102950000,0
